file_path,language,size_bytes,sha256,public_status,notes
code/01_download_tcga_laml.R,R,3291,de25398bd83ce53cd0af970743fc0cf622d91ed0728e1e3581694f6f7770e92b,include_candidate,retained after v2 risk filtering
code/01_download_tcga_laml_xena.R,R,6959,d894afeb5d3b466cd9b5fa8deeb979f71052a33fd4c276567ad7057ff2537635,include_candidate,retained after v2 risk filtering
code/04_preprocess_tcga_laml.R,R,12443,fb9483c1a64c6d99a765c524a61681eff681d396b4807ea2ac6a5f20ec9c8947,include_candidate,retained after v2 risk filtering
code/04_preprocess_tcga_laml_xena.R,R,16359,51fd380cf206a94c2c5b6eab592936dc8f31cf1e6af3ad55fc6fbb847c139296,include_candidate,retained after v2 risk filtering
code/04_preprocess_tcga_laml_xena__dup2.R,R,16359,51fd380cf206a94c2c5b6eab592936dc8f31cf1e6af3ad55fc6fbb847c139296,include_candidate,retained after v2 risk filtering
code/07_prepare_gene_sets.R,R,3434,30d9f994883531cb82768537a5841c774b9810177b022e088f019c17858aab13,include_candidate,retained after v2 risk filtering
code/08_calculate_ssgsea_scores.R,R,4432,f87fe43c1fba701b3ba96e039c2af987dcddb34156e9c652ca9e087af5d1bfb8,include_candidate,retained after v2 risk filtering
code/09_calculate_prft_score_and_group.R,R,4254,1643d401cda07627da8054d1ae3faa7fab1ede3e576b85feabf564104e42bfb5,include_candidate,retained after v2 risk filtering
code/09_calculate_prft_score_and_group__dup2.R,R,4254,1643d401cda07627da8054d1ae3faa7fab1ede3e576b85feabf564104e42bfb5,include_candidate,retained after v2 risk filtering
code/10_deg_prft_high_low_tcga.R,R,9168,a6f0632f123343a02ac13bd5ae32c7500782803e818eb59d9e5103298ba4eae1,include_candidate,retained after v2 risk filtering
code/11_wgcna_prft_modules_tcga.R,R,16368,10bc8253e490fb4034c2dccdb3f2fb465845cf09b120bbd4145f11db9d8e3ddd,include_candidate,retained after v2 risk filtering
code/12_candidate_gene_selection_and_univariate_cox.R,R,11241,336dd57a0f18664c77c53661feb3674e7e36907f4cdf6447ffb4a15fe4a4a54d,include_candidate,retained after v2 risk filtering
code/13_lasso_cox_prft_signature_tcga.R,R,18746,bbe2e8cb4ae7088a7ad48fef96d5fd96cdaafe5b2bc6b8fdc14673ef666a78e1,include_candidate,retained after v2 risk filtering
code/14_external_geo_dataset_feasibility_check.R,R,22519,c0d10f86013f7d01d215bd979fc3a83b322aa6807a2be53b7f03a2d228f26589,include_candidate,retained after v2 risk filtering
code/15_cross_platform_candidate_coverage_check.R,R,17704,4921b406dd79c62c2463ea33b75ad21662e43c2c8662fc574dec22d1e6487ceb,include_candidate,retained after v2 risk filtering
code/16_rebuild_cross_platform_lasso_signature_tcga.R,R,22159,bf13881a757971c2daf33098dc5398268a13a868b151be8fb6d3b6f56f34613a,include_candidate,retained after v2 risk filtering
code/17_external_validation_cross_platform_signature_geo.R,R,30532,59ff7105a38dae11acb0b1772251b448b9030a30e7799c010089bc7b14749364,include_candidate,retained after v2 risk filtering
code/19_immune_microenvironment_analysis_tcga.R,R,18007,cdd15e949faf9632150793a82ee1b1a058308d7eac8c74d107db3be9a0f5fd72,include_candidate,retained after v2 risk filtering
code/20_beataml_drug_sensitivity_analysis.R,R,28538,98bc8d02b2ccf0e978b582c2f48056da3cbf4d9debc913ccd75c4c890ebc82cd,include_candidate,retained after v2 risk filtering
code/20_beataml_drug_sensitivity_analysis__dup2.R,R,29234,58f8807cad0c0b94e3d27e8d20c46330b430c59ad03d73bcfa9f48885d7f4f82,include_candidate,retained after v2 risk filtering
code/21_single_cell_prft_signature_localization.R,R,39800,6b4f0e23223217ecba37940b65cb77125b64f918e14fca19c594e8d98dc8f322,include_candidate,retained after v2 risk filtering
code/22_make_workflow_and_prft_definition_figure.R,R,10395,1d8c6711472cd6f05e13b13711b0ac6baac53a653e7a1d671a13fdec3c5495f3,include_candidate,retained after v2 risk filtering
code/23_make_cross_platform_signature_formula_figure.R,R,4995,3b698da8f4609ecef53a1dedeec43088e7271a284beda4408f43862352f8d9f4,include_candidate,retained after v2 risk filtering
code/24_make_cox_summary_forest_plot.R,R,11829,58442a2691a420128a1760c88156dcf9f19c209f7c07741289bc76c26ce76486,include_candidate,retained after v2 risk filtering
code/28_update_review_copy_figure2.py,Python,2397,4e9c70fdcd32563717531ab3711412944e21c9a62fd75df1e53820e84f61cfeb,include_candidate,retained after v2 risk filtering
code/29_redraw_graphical_abstract_prft_aml.R,R,13155,99a3d8337a79717467906c025b27c634f9c4279845feba04c4ba133f3c4a1459,include_candidate,retained after v2 risk filtering
code/32_import_user_graphical_abstract_and_finalize_package.R,R,4438,0534f8b2553d0affec21819750352bb9cd5a575db5f4390a7333ade3bda54bcc,include_candidate,retained after v2 risk filtering
code/35_check_final_docx_integrity.py,Python,669,c0ffeb0f96cd3adb20df73fdcc293e5b2cf37aac8a172f34a15809fc408d0c4d,include_candidate,retained after v2 risk filtering
code/44_rebuild_review_copy_with_embedded_figures.py,Python,3578,f18ab6aca046bc9ec14504d80896341ee54284c2728bca867222057f837dd9e9,include_candidate,retained after v2 risk filtering
code/45_phase0_project_audit_reorganize.py,Python,15190,b2fb12778e79b163ee5a148f2211d5685df6d7705c1e08ab4af4daa6ed4b48de,include_candidate,retained after v2 risk filtering
code/phase10E_submission_text_package.py,Python,30552,2ba6893949b4f03e79f1374a654f17d67b8f16b0d7c8cbf95881adbe24b96b99,include_candidate,retained after v2 risk filtering
code/phase10F_final_fillable_package.py,Python,24264,2c1de5d55a924d8043711b3a42ad59e058264a501e61a382bd853620f0e90b1c,include_candidate,retained after v2 risk filtering
code/phase1_run_reproduction.R,R,4273,183b54b507d4b07153651f0db1d398f43387d84d4694f1ba75dd836bbffd3ad9,include_candidate,retained after v2 risk filtering
code/phase2_clinical_independence_analysis.R,R,32722,098c6af636bb52015081f9bbe57b355b0e1213caa7927b7510d61268b5e5a844,include_candidate,retained after v2 risk filtering
code/phase2b_clinical_figure_fix_mutation_audit.R,R,22646,93849289bd9d8637b2c85beb3ddda1f5f387d565760858aec2e1dbf266216b54,include_candidate,retained after v2 risk filtering
code/phase3A_150_ml_framework.R,R,46099,91f0aff91fcdd74393f1dc6fce9484dd48ce753ad6d73a397c1c87f06e99a586,include_candidate,retained after v2 risk filtering
code/phase3A_fix_150_ml_framework.R,R,59793,277f295fd3f87d7d97703a6c109ce322684285e7581a9064a1af48d9741f718e,include_candidate,retained after v2 risk filtering
code/phase3A_fix_auc_diagnostic.R,R,2454,8cd067620ebebf7376ceaaa48417e8c22a05cb341b603c378eadf087e0b8036c,include_candidate,retained after v2 risk filtering
code/phase3A_PPI_mini_update.R,R,58250,e7415da0b67005d0f21cd76782313d497e9ac4479ba1dc8b3e9a1278c9d565d7,include_candidate,retained after v2 risk filtering
code/phase3B_external_validation_update.R,R,17340,12329af5adcd96b88a7593fa0352aef424bd07b18e680fc740430c40f8491749,include_candidate,retained after v2 risk filtering
code/phase3B_fix_interpretability_ML.R,R,33679,32f8907b95b43d03ea185140f546b17e51bae0f176576816125d95cc38b5c393,include_candidate,retained after v2 risk filtering
code/phase3B_inspect_inputs.R,R,1101,eeabc03a1bce96abcd9536a6b03d3747a17a6cc72813906347c50af2184f4e27,include_candidate,retained after v2 risk filtering
code/phase3B_PRFT_state_ML.R,R,45052,d771b314561d1320aeed4e8c2a86fe276f004649fb21bbe25cc9c90ee6569fce,include_candidate,retained after v2 risk filtering
code/phase4_fix_singlecell_umap_audit.R,R,20900,ea03e20f3978384861c10f90e0861aa4c5ce5cf6a9b0cc39f02680f1e795ffb4,include_candidate,retained after v2 risk filtering
code/phase4_singlecell_validation_consolidation.R,R,28951,8d7b5af4fbd88e1651ac012d1b6061b14db5b63a377abbcb80c1c7f89201be73,include_candidate,retained after v2 risk filtering
code/phase4b_patient_level_robustness.R,R,22453,7179bc46d30b4625ffe42ab52758bd5f98b3a2e3023726b2ef0896f5e1a22261,include_candidate,retained after v2 risk filtering
code/phase5_PPI_network_analysis.R,R,23242,a545a5361c2ad1810b39ac88c97c423edc929f09d10835a768671ef6fb77f5df,include_candidate,retained after v2 risk filtering
code/phase6_external_validation_GSE6891_GSE14468.R,R,37632,1fbfc2e3201c9f191327f7b9ab89dfd8cc432a5069917d31e2d0d0d977cc7fa9,include_candidate,retained after v2 risk filtering
code/phase7_bulk_immune_myeloid_pathway_analysis.R,R,48223,ca3c0236cdf4e2585aa34bf7b99fe504b7f046fd07f0663053db628d7a04ec5f,include_candidate,retained after v2 risk filtering
code/phase7_cleanup_bulk_immune_module.R,R,19274,9c5d3762eb9de060765e37630114ffe061cd2b137b33b38e395a3593a930aa85,include_candidate,retained after v2 risk filtering
code/phase8A_AS_input_audit.R,R,20929,e3754a5d46293f9a62958edaa6775df3d8c66b610da12bf83092985416e9eb0d,include_candidate,retained after v2 risk filtering
code/phase9_manuscript_integration.py,Python,46831,8e6b8cd1ad82572f3e1ecaf22507f3df7ce86edbdaeecfbeba5264e51d396e35,include_candidate,retained after v2 risk filtering
code/plot_label_utils.R,R,4453,252aee09b6cd6f690af512603a48207c5f4b4e85cad1caef1e8b0f4e51403b9b,include_candidate,retained after v2 risk filtering
